State of legal residence (student) 2003-04,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico,Overseas territories and military,Foreign countries
    Total,1.4562,0.2191,2.0038,0.2881,11.4587,0.851,1.1278,0.2141,0.1652,6.4691,3.1057,0.2606,0.6501,4.2645,2.3547,0.9835,1.908,1.3207,0.9083,0.1666,1.5329,2.2986,2.9616,1.6654,1.205,1.5266,0.5864,0.4808,0.328,0.1982,2.7,0.7543,5.5705,1.7524,0.2336,3.9722,1.5407,1.2025,4.1683,0.5911,0.7961,0.1499,2.3296,8.2688,1.1958,0.1153,1.9605,2.4107,0.9605,3.3888,0.223,1.2307,0.0624,1.4628
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institution state 2003-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Alabama,90.4085,0,0,0.3368,0.3156,0,0,0,0,2.7583,2.1135,0,0,0,0.4794,0,0,0,0,0,0,0.4721,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3345,0,0,0,0,0.9461,0,0,0,0,0,0,0,0,0,0,0,0,1.8353
  Alaska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
  Arizona,0.1279,0,87.2878,0,4.408,0,0,0,0,0,0,0.2859,0.2578,0.5044,0.2907,0,0.2705,0,0,0,0.2472,0.4621,0.4283,0.2561,0,0,0,0.1484,0.4224,0,0,1.3789,0,0,0,0.2008,0.0446,0,0.1493,0,0,0.1121,0,0.981,0.1745,0,0,0.7815,0.4015,0.1131,0,0,0,0.2654
  Arkansas,0,0,0.4752,86.3579,0,0,0,0.5014,0,0,0,0,0,0.6598,0,0,0,0,1.311,0,0,0,0,0,0,2.622,0,0,0,0,0,0,0,0,0,0,1.1838,0,0,0,0,0,0,6.889,0,0,0,0,0,0,0,0,0,0
  California,0.0789,0.0641,0.0542,0,95.8727,0.1989,0,0,0,0.1439,0,0.1793,0.0728,0.0563,0,0.0231,0.0214,0,0,0.0306,0,0.0612,0.034,0.0306,0,0.0874,0,0,0.0264,0.0226,0.0325,0.055,0.064,0,0.0338,0.035,0.0899,0.253,0.0156,0,0,0,0.0524,0.1891,0.0064,0,0.0061,0.4093,0,0,0,0,0.1522,1.5472
  Colorado,0,0,0.3384,0,1.1509,78.6301,0,0,0,0.9593,0,0,0,2.1743,0,0,0.3578,0,0,0,0,2.1694,0.8007,0.6635,0,1.9719,0.8843,0.8606,0,0.8573,0,0.8007,0.8606,1.1575,0,0,0.6812,0.0826,0,0,0,0.0982,0,1.9939,0.0438,0,0.7287,0,0,1.7343,0,0,0,0
  Connecticut,0,0.3582,0,0,0.8815,0,75.6278,0,0,1.1704,0.0398,0,0,0.4531,0.528,0,0,0,0,0.0943,0,5.6653,0,0,0,0,0,0,0.4014,1.2162,2.4527,0.4014,5.2969,0,0,0.3662,0,0,1.4074,0.0914,0,0,0,1.0652,0,0.3755,0,0,0,0,0,0.2186,0,1.8887
  Delaware,0,0,0,0,0,0,3.9267,61.9752,0,0.0178,0.1463,0,0,0,0,0,0,0,0,0,12.5931,0,0,0,0,0,0,0,0,0,11.5358,0,2.4727,0,0,0,0,0,4.2555,0,0,0,0,0,0,0,0.1463,0,0,0,0,0,0,2.9305
  District of Columbia,0,0,0,0,1.1013,0,1.1013,0,43.1848,1.1104,0,2.1776,0,2.2208,0,0,1.649,0,0,0,19.144,3.8503,1.1104,0,0,0,0,0,0,0,3.4464,0,7.7455,1.4517,0,0,0,0,1.4517,0,0,0,0,1.1104,0,0,2.3668,0,0,0,0,0,0,5.7776
  Florida,0.1742,0,0.0595,0.1245,0.2956,0.013,0.2755,0,0,88.2113,1.1715,0,0.1331,0.1787,0.1553,0.0587,0,0,0,0,1.0968,0.224,0.8248,0,0.0681,0.1448,0,0,0,0.2798,0.214,0.0333,0.4192,0.2576,0.153,0.3466,0,0.0475,0.3196,0,0.1111,0,0.0608,0.891,0,0.0893,1.6126,0.267,0.0671,0.2123,0,0.0507,0.1477,1.2107
  Georgia,0.9401,0.2274,0,0,0.2498,0,0,0.1761,0,1.0334,91.0074,0,0,0.2617,0.2116,0,0,0.1768,0,0.0372,0.3572,0.3514,0.1744,0.1591,0.0435,0,0,0,0,0,0.0323,0,0.5821,0.7477,0,0.3596,0,0,0,0,0.0558,0,0.8828,0.3253,0,0,0.1755,0,0,0.2999,0,0,0.0638,1.0678
  Hawaii,0,0,2.385,0,9.8964,0,0,0,0,0,0,79.6615,0,0,0,0,0,0,0,0,0,0,0,2.2805,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7142,0,0,0,0,0,0,0,0,0,4.8493,0,0,0,0,0.2132,0
  Idaho,0,0,1.2765,0.1019,4.2352,0,0,0,0,0,0,0,79.0201,0,0,0,0,0.5954,0,0,0,0,0.5949,0,0,0,0,0,2.6043,0,0,0.4969,0,0.1905,0,0,0,3.6592,0,0,0,0,0,0.4969,1.8133,0,0.4438,2.5786,0,0.2715,0,0,0,1.6212
  Illinois,0,0.0567,0,0,0.1807,0.1002,0,0,0,0.365,0.0542,0,0,91.6503,0.8175,0.8387,0,0.1018,0,0,0.064,0.162,0.7128,0.2073,0.0707,0.956,0,0,0,0,0.4882,0.0369,0.1585,0,0,0.2269,0,0.1199,0.162,0,0,0,0.3086,0.3351,0,0,0.0707,0,0,1.1523,0,0,0,0.6032
  Indiana,0.6759,0,0.2509,0,0.7173,0.1695,0,0,0.1235,0.5479,0.1026,0,0,3.7835,83.7579,0.2489,0.1788,0.568,0.1058,0,0.5301,0,0.5513,0.4583,0,0.217,0,0.2755,0,0,0,0,0.4187,0,0,2.9498,0,0.1017,0.2116,0,0,0.1154,0.2776,0.612,0,0,0.4455,0.1058,0,0.9306,0,0,0,0.5687
  Iowa,0,0,0.2571,0,0,0,0,0,0,0.4966,0,0,0,6.6154,0.1742,82.5279,1.1691,0,0,0,0,0,0.2526,2.0034,0,0.709,0,0.7089,0,0,0,0,0,0,0,0.3389,0,0,0.5509,0,0,0,0,0,0,0,0,0,0,1.9317,0,0,0,2.2644
  Kansas,0,0,0.3014,0.258,0.4125,0.2194,0,0,0,0,0,0,0,0.555,0,0.5958,89.5147,0,0,0,0,0,0,0,0,1.0315,0,0,0,0,0,0,0,0.0976,0,0,3.1417,0,0,0,0,0,0,1.3717,0,0,0.2823,0,0,0,0.1239,0,0,2.0944
  Kentucky,0.2749,0,0,0,0,0,0,0,0,0.3913,0,0,0,0.2706,0.2782,0,0,92.0486,0,0,0.443,0,0,0,0,0.3096,0,0,0,0,0,0,0,0,0,4.0307,0,0,0.1593,0,0,0,0.7776,0,0,0,0.3626,0,0,0,0,0,0,0.6536
  Louisiana,1.0121,0,0,0,0,1.3147,0,0,0,1.6846,1.211,0,0,0.5843,0.6591,0,0,0,79.1759,0.6093,0,0,0,0,0,0,0.6078,0,0,0,0.3519,1.1271,0.3423,0,0,0.8713,0.2422,0,0.5397,0,0,0,0.54,7.9157,0,0,0.5518,0,0,0.6591,0,0,0,0
  Maine,0,0,0,0,3.2678,1.6572,6.3187,0,0,1.6572,0,0,0,1.6572,0,0,0,0,0,45.9478,0,17.8218,0,0,0,1.6572,0,0,0,3.3144,0,0,4.6136,0,0,0,0,0,3.3144,0,0,0,1.8713,0,0,0,1.6572,1.8377,0,0,0,0,0,3.4067
  Maryland,0,0,0,0,0.4741,0,0,0.5148,0.85,0.1598,0,0,0,0,0,0,0.4082,0,0,0,79.8194,0.7949,0,0.6101,0,0.4893,0,0,0,0,2.1931,0,2.8608,0.6312,0,1.5913,0,0,2.5271,0,0.4023,0,0,0,0,0,2.5436,0,0,0,0,0,0,3.1301
  Massachusetts,0,0.1604,0,0,1.1391,0.3967,3.9937,0,0.3208,0.7153,0,0.1592,0.3123,0.4775,0.2339,0.0499,0.0965,0,0,1.0163,0.2751,73.2456,0.5694,0.317,0,0,0,0,0,2.2667,2.2942,0,4.8281,0.1159,0,0.0499,0,0,0.5047,0.845,0,0,0.1698,0.3102,0.0499,0.5325,0.2435,0.4068,0,0,0,0.0499,0,3.8543
  Michigan,0,0,0,0,0.1039,0,0,0,0,0.0648,0,0,0,0.2947,0.3011,0,0,0,0,0,0,0.1998,95.2649,0,0.1529,0,0,0,0,0,0,0,0.0869,0,0,1.3512,0,0.1039,0,0,0,0,0,0,0,0,0,0.5277,0,0,0,0,0,1.5482
  Minnesota,0,0,0,0,0,0,0,0,0.2202,0.0976,0,0,0,2.7677,0,0.6623,1.6676,0,0,0,0,0,0.2125,82.3091,0,0,0.192,0,0.2576,0,0,0,0.1718,0,2.4546,0,0,0,0.232,0,0,0.8284,0.171,0,0.0826,0,0,0,0,7.0684,0,0,0,0.6046
  Mississippi,1.5273,0,0,0,0,0,0,0,0,0.2364,0,0,0,0.3378,0,0,0,0,2.8124,0,0,0,0,0,91.351,0.2322,0,0,0,0,0,0,0,0.6301,0,0,0,0,0,0,0.4644,0,2.0693,0,0,0,0,0,0,0,0,0,0,0.3391
  Missouri,0,0,0,0,0.1968,0.6962,0.2138,0,0,0,0.3475,0,0,3.3447,0.6149,0.5403,4.5391,0,0,0,0.3359,0,0.2433,0.2288,0.3202,84.3215,0,0.1296,0,0,0,0,0.1069,0,0,0.1761,0.7753,0,0,0,0,0,0.5773,0.3978,0.1373,0,1.138,0,0,0.3998,0,0,0,0.2191
  Montana,0,0,0,0,0,0,0,0,0,0,0,0,2.2682,1.0663,0,0,0,0,0,0,0,0,0,1.4258,0,0,84.5096,0,1.1549,0,0,0,0,0,1.5595,0,0,0,0,0,0,1.0709,0,0,1.6888,0,0,2.3994,0,0,2.8565,0,0,0
  Nebraska,0,0,0,0.1591,0,1.3927,0,0,0,0,0,0,0,1.0379,0,1.6085,0.6306,0,0,0,0,0,0.2653,2.0811,0,0,0,88.8169,0,0,0,0,0.1499,0,0,0,1.0156,0,0,0,0,0.2715,0,0,0,0,0.1039,0,0,0,0,0,0,2.4671
  Nevada,0,2.1528,0,0,12.3755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.5616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7916,0.4767,0,0,0,0,0,0,0,0,1.6418
  New Hampshire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
  New Jersey,0,0,0,0,0,0,0.1739,0,0,0,0.3209,0,0,0,0,0,0,0,0,0,0.0897,0,0.1739,0,0,0.2258,0,0,0,0,95.4666,0.1878,1.122,0,0,0,0,0,0.8033,0,0.1739,0,0,0,0,0,0.3477,0,0,0,0,0,0,0.9146
  New Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.9258,0.4436,0,0,0,0,0,0,0,0,0,0,5.4295,0,0,0,0.201,0,0,0,0,0,0
  New York,0,0.12,0,0,0.2329,0.1333,0.5425,0,0,0.9924,0,0,0.0722,0.3927,0.02,0,0,0,0.0801,0.1003,0.6974,0.9718,0.1746,0.1823,0,0.1025,0,0.0371,0,0.4004,2.2055,0,87.2344,0.1116,0,0.2227,0.0478,0,1.1033,0.0493,0,0,0.0067,0.1969,0,0.1676,0.3286,0.0537,0.2423,0,0,0,0.1385,2.6388
  North Carolina,0.2807,0,0,0,0.5401,0.2524,0,0.6622,0,0.9099,1.0226,0,0,0.1743,0,0,0.2551,0,0,0.2545,0.3887,0,0,0,0,0.0535,0,0,0,0.1952,0.4331,0,0.2023,87.8879,0,0.2885,0,0,0.2376,0,1.1647,0,0.8475,0.7593,0,0,1.7453,0,0,0,0,0,0.1963,1.2482
  North Dakota,0,2.5514,1.387,0,0.923,0.822,0,0,0,0,0,0,0,0,0,0,0,0,1.1299,0,0,0,0,26.7459,0,0,3.402,0,0,0,0,0,0,0,47.1949,0,0,0,0,0,0,3.5131,0,0,0,0,0,5.2597,0,3.4792,2.9412,0,0,0.6505
  Ohio,0,0,0,0,0.183,0,0.0364,0,0,0.2361,0,0,0,0.2587,2.0839,0.1562,0.2108,0.0754,0,0,0.3167,0,0.351,0,0,0,0,0,0,0,0,0,0.0775,0,0,94.466,0.4327,0,0.4503,0,0,0,0.1732,0.086,0,0,0.201,0,0.0168,0.069,0,0,0,0.1193
