Major during first year,Undeclared/no major,Humanities,Social/behavioral sciences,Life sciences,Physical sciences,Math,Computer/information science,Engineering,Education,Business/management,Health,Vocational/technical,Other technical/professional
    Total,26.2736,10.8572,5.0918,4.0071,0.6106,0.4397,1.9925,6.8236,5.2198,12.7687,9.322,3.4735,13.1198
 ,,,,,,,,,,,,,
Major when last enrolled 1998 (12 cat),,,,,,,,,,,,,
  {Not reached},32.1805,10.7608,3.8696,6.9936,0,2.1844,0.1687,6.7287,4.5085,8.5944,7.0918,0.4456,16.4735
  Undeclared/no major,49.6905,11.5957,8.061,0.7301,1.0171,0,0.0742,7.9647,1.3736,7.9725,4.7302,0.03,6.7603
  Humanities,27.6808,40.1559,3.518,2.8345,0.2951,0.3302,0.2414,2.46,5.0546,5.2154,1.7977,0.0891,10.3274
  Social/behavioral sciences,35.8175,9.9782,30.9708,4.3801,0.2902,0.2674,1.3594,0.6338,3.9869,3.9351,3.4614,0.025,4.8943
  Life sciences,26.2122,9.4415,1.9054,39.2418,2.6907,0.1346,0,2.0402,0.8767,3.5058,11.4426,0,2.5085
  Physical sciences,45.4945,2.5986,5.1404,12.4821,21.1342,0.4098,0,5.7567,1.9871,1.3586,1.828,0.5969,1.2132
  Math,19.8706,10.7182,11.4395,5.9554,3.4365,10.2318,0,7.5583,3.768,13.6391,8.8766,0,4.5061
  Computer/information science,31.0381,6.5714,1.5324,2.2741,0.1664,2.1118,26.8314,8.9108,0.6329,14.4498,1.1551,0.6459,3.6799
  Engineering,16.9772,8.1798,0.0553,1.0704,0.6295,0.1037,0.8095,62.8286,0.6511,2.0385,0.8624,1.7754,4.0187
  Education,22.9931,11.6811,4.8228,1.8028,0.0995,0.8757,0.8006,0.4304,42.0583,2.0211,3.5999,0,8.8147
  Business/management,26.7368,5.0917,1.8735,1.5782,0.4038,0.3605,1.8413,3.6388,1.7324,46.8823,5.1264,0.5643,4.17
  Health,21.9002,5.6959,2.0111,4.6449,0.4222,0.0613,0,0.8818,5.9598,4.1545,49.4599,0.1515,4.6568
  Vocational/technical,12.8966,7.0776,1.7156,1.505,0,0,0.6584,9.5727,1.2357,4.7981,1.1639,34.6084,24.768
  Other technical/professional,21.5533,7.2605,2.328,2.1351,0.0714,0.0938,0.6578,1.0099,1.3632,7.6922,7.5469,0.1209,48.1672
  Uncodeable,32.4612,13.6668,4.3322,2.2536,2.2578,0,1.0483,5.4206,4.9202,11.0878,5.2856,9.5417,7.7243
 ,,,,,,,,,,,,,
Major when last enrolled,,,,,,,,,,,,,
  Undeclared or no major,100,0,0,0,0,0,0,0,0,0,0,0,0
  Humanities,25.0045,46.157,2.6865,2.7135,0.2955,0.15,0.5828,1.6226,2.74,4.8054,2.9343,0.1953,10.1127
  Social/behavioral sciences,35.2612,8.9598,28.2124,4.1672,0.2738,0.4253,1.0739,0.9381,5.4563,4.2242,4.0815,0.0194,6.9069
  Life sciences,29.1229,9.9606,1.866,36.5923,2.2814,0.125,0.2187,1.9767,1.186,6.6817,8.3571,0,1.6314
  Physical sciences,39.9252,2.3579,6.3086,8.3412,27.117,1.1647,0,6.2999,0,1.2583,6.4996,0,0.7276
  Mathematics,14.991,3.0343,0.9126,6.5423,2.9948,28.7733,0,12.5281,2.3186,14.518,3.2225,0,10.1645
  Computer/information science,30.8343,9.1087,1.1151,3.4191,0.481,0.3639,24.2695,9.1716,0.8786,13.044,1.9138,2.0938,3.3066
  Engineering,14.5837,7.5261,1.8329,1.2207,0.492,1.1412,0.6319,66.4264,0.6276,1.6973,0.8002,1.1403,1.8798
  Education,21.281,13.1741,3.765,1.8905,0.0833,0.31,0,1.9436,39.1087,5.0399,4.3308,0,9.0731
  Business/management,23.6814,5.0969,1.8326,1.7994,0.3409,0.1844,2.1572,3.4307,2.0914,49.6904,4.1912,1.0177,4.4857
  Health,18.3621,3.8849,2.5902,3.8722,0.1973,0,0.0405,1.2039,5.761,2.714,55.6859,0.5368,5.1512
