National Center for Education Statistics,,,,,,,,,,,,,,
First Major to Third Major,,,,,,,,,,,,,,
Variance estimation method: ,BRR,,,,,,,,,,,,,
Source: ," ""BPS:2001 Beginning Postsecondary Students""",,,,,,,,,,,,,
Computation by DAS-T Online Version 5.0 on 2/13/2014,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
 ,Major during first year, , , , , , , , , , , , , 
 ,Undeclared/no major,Humanities,Social/behavioral sciences,Life sciences,Physical sciences,Mathematics,Computer/information science,Engineering,Education,Business/management,Health,Vocational/technical,Other technical/professional,
 ,(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),
Estimates,,,,,,,,,,,,,,
    Total,26.2736,10.8572,5.0918,4.0071,0.6106,0.4397,1.9925,6.8236,5.2198,12.7687,9.322,3.4735,13.1198,
 ,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Major when last enrolled 1998 (12 cat),,,,,,,,,,,,,,
  Undeclared/no major,49.6905,11.5957,8.061,0.7301,1.0171,0,0.0742,7.9647,1.3736,7.9725,4.7302,0.03,6.7603,
  Humanities,27.6808,40.1559,3.518,2.8345,0.2951,0.3302,0.2414,2.46,5.0546,5.2154,1.7977,0.0891,10.3274,
  Social/behavioral sciences,35.8175,9.9782,30.9708,4.3801,0.2902,0.2674,1.3594,0.6338,3.9869,3.9351,3.4614,0.025,4.8943,
  Life sciences,26.2122,9.4415,1.9054,39.2418,2.6907,0.1346,0,2.0402,0.8767,3.5058,11.4426,0,2.5085,
  Physical sciences,45.4945,2.5986,5.1404,12.4821,21.1342,0.4098,0,5.7567,1.9871,1.3586,1.828,0.5969,1.2132,
  Mathematics,19.8706,10.7182,11.4395,5.9554,3.4365,10.2318,0,7.5583,3.768,13.6391,8.8766,0,4.5061,
  Computer/information science,31.0381,6.5714,1.5324,2.2741,0.1664,2.1118,26.8314,8.9108,0.6329,14.4498,1.1551,0.6459,3.6799,
  Engineering,16.9772,8.1798,0.0553,1.0704,0.6295,0.1037,0.8095,62.8286,0.6511,2.0385,0.8624,1.7754,4.0187,
  Education,22.9931,11.6811,4.8228,1.8028,0.0995,0.8757,0.8006,0.4304,42.0583,2.0211,3.5999,0,8.8147,
  Business/management,26.7368,5.0917,1.8735,1.5782,0.4038,0.3605,1.8413,3.6388,1.7324,46.8823,5.1264,0.5643,4.17,
  Health,21.9002,5.6959,2.0111,4.6449,0.4222,0.0613,0,0.8818,5.9598,4.1545,49.4599,0.1515,4.6568,
  Vocational/technical,12.8966,7.0776,1.7156,1.505,0,0,0.6584,9.5727,1.2357,4.7981,1.1639,34.6084,24.768,
  Other technical/professional,21.5533,7.2605,2.328,2.1351,0.0714,0.0938,0.6578,1.0099,1.3632,7.6922,7.5469,0.1209,48.1672,
 ,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Standard Error (BRR),,,,,,,,,,,,,,
    Total,2.0316,0.929,0.5079,0.4051,0.1041,0.1221,0.2659,0.662,0.4398,0.9341,0.6131,0.76,0.6321,
