National Center for Education Statistics,,,,,,,,,,,,,,
Third Major to Final Major,,,,,,,,,,,,,,
Variance estimation method: ,BRR,,,,,,,,,,,,,
Source: ," ""BPS:2001 Beginning Postsecondary Students""",,,,,,,,,,,,,
Computation by DAS-T Online Version 5.0 on 2/13/2014,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
 ,Major when last enrolled 1998 (12 cat), , , , , , , , , , , , , 
 ,Undeclared/no major,Humanities,Social/behavioral sciences,Life sciences,Physical sciences,Mathematics,Computer/information science,Engineering,Education,Business/management,Health,Vocational/technical,Other technical/professional,
 ,(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),
Estimates,,,,,,,,,,,,,,
    Total,4.8028,10.7716,10.8371,5.4923,1.1791,0.9344,4.3372,7.3526,8.2346,17.8169,10.4497,5.4549,12.3369,
 ,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Major when last enrolled,,,,,,,,,,,,,,
  Undeclared/no major,100,0,0,0,0,0,0,0,0,0,0,0,0,
  Humanities,5.3218,75.1983,3.5702,0.5866,0,0,0.7948,0.2212,2.3949,4.7491,1.6184,1.328,4.2166,
  Social/behavioral sciences,6.3934,5.1691,74.2446,0.637,0.8423,0.1283,0.3835,0.9546,2.239,3.6978,1.6568,0.5334,3.1203,
  Life sciences,0.6586,5.4991,0.5801,82.251,0.4919,0.053,0.0265,0.7549,0.0395,0.8926,6.9412,0,1.8117,
  Physical sciences,3.9826,0.9865,0.8371,4.394,77.9912,5.0784,0,3.1524,1.5892,0,1.2086,0,0.7798,
  Mathematics,0,4.4791,1.0348,0,2.4387,81.1281,6.6087,0,4.3105,0,0,0,0,
  Computer/information science,2.6492,3.7801,3.191,0.7476,0,0.4139,68.6889,6.1254,0.5392,9.6091,2.3299,0.1532,1.7723,
  Engineering,2.972,0.1023,0,0.0969,0.0847,2.5327,1.7768,88.6349,0.3947,1.7228,0.9495,0.2187,0.514,
  Education,2.8305,6.0034,1.7568,1.3883,0.1047,0,0.1839,0.7992,74.9836,4.1447,4.7448,0,3.0599,
  Business/management,4.9753,1.7511,0.9713,0.628,0.2136,0.4135,1.7451,1.3498,1.5612,82.2585,1.23,1.0498,1.853,
  Health,2.7883,1.1085,1.3107,1.2429,0.1134,0,0.0927,1.0615,3.1219,2.0967,80.8829,0,6.1806,
  Vocational/technical,0.8236,10.7806,1.6414,0.0881,0,0,0.3979,2.3851,0.271,1.3449,0.1367,79.6165,2.5141,
  Other technical/professional,4.0435,1.4713,1.0687,2.1992,0.0397,0,0.0988,1.0603,2.9587,3.1048,3.179,0.9057,79.8703,
 ,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Standard Error (BRR),,,,,,,,,,,,,,
    Total,0.5233,0.6601,0.5704,0.4967,0.1872,0.2237,0.3605,0.7642,0.5334,0.7955,0.7881,0.5276,0.5365,
 ,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Major when last enrolled,,,,,,,,,,,,,,
  Undeclared/no major,0,0,0,0,0,0,0,0,0,0,0,0,0,
  Humanities,1.4792,2.111,1.482,0.2483,0,0,0.6947,0.1218,0.6172,1.2027,0.69,1.1744,1.1775,
  Social/behavioral sciences,1.7853,1.9153,3.7632,0.2305,0.6487,0.0801,0.3994,0.5989,0.5565,1.0595,0.6494,0.3276,1.2637,
  Life sciences,0.3208,3.4157,0.2828,3.2367,0.2409,0.0555,0.0288,0.3562,0.0407,0.5397,2.5294,0,0.9885,
  Physical sciences,3.439,1.1925,0.7701,2.2238,6.0785,4.505,0,1.7219,1.1788,0,0.96,0,0.8013,
  Mathematics,0,3.4015,1.8163,0,2.4894,8.4163,7.1217,0,3.458,0,0,0,0,
  Computer/information science,1.4145,1.8324,2.2096,0.4573,0,0.3473,4.6941,2.3749,0.3834,3.1443,1.5084,0.1808,1.6429,
  Engineering,1.3101,0.2143,0,0.1047,0.0742,1.9702,1.3954,2.2722,0.3079,0.8334,0.6356,0.1727,0.4329,
  Education,1.0589,2.3286,0.7071,0.9071,0.1002,0,0.1343,0.4737,3.9828,1.9958,1.5545,0,1.3487,
  Business/management,1.2602,0.4968,0.4238,0.3726,0.1333,0.3518,0.6843,0.794,0.6873,1.7892,0.5486,0.2923,0.4682,
